payment_id,timestamp,channel,payer_phone,amount,currency,reference
SE5GAS442V,2026-09-22 11:51:20,MOBILE_MONEY,254700749894,41.91,USD,TUP-S-000035
SRZPJAG1OL,2026-09-22 11:55:22,MOBILE_MONEY,254700917693,77.00,USD,TUP-S-000024
SJIP98Q1ZX,2026-09-22 12:00:25,MOBILE_MONEY,254700395376,72.80,USD,TUP-S-000005
SCNO6B9M80,2026-09-22 12:08:25,MOBILE_MONEY,254700321819,31.00,USD,TUP-S-000001
BNK489325288,2026-09-22 12:21:05,BANK,254700270482,22.40,USD,TUP-S-000007
BNK511615594,2026-09-22 12:31:53,BANK,254700026542,435.00,USD,TUP-S-000002
SL0LMI8X76,2026-09-22 12:32:08,MOBILE_MONEY,254700247451,800.00,USD,ACC 5521
SNLTZ9ATSN,2026-09-22 12:52:59,MOBILE_MONEY,254700656482,52.70,USD,TUP-S-000022
SSQIWEPXSK,2026-09-22 13:00:47,MOBILE_MONEY,254700107991,46.50,USD,TUP-S-000015
SPUQBFOBRC,2026-09-22 13:07:54,MOBILE_MONEY,254700648877,435.00,USD,TUP-S-00003
SPCU4YYJ5C,2026-09-22 13:07:54,MOBILE_MONEY,254700867533,115.50,USD,TUP-S-000044
BNK142940196,2026-09-22 13:10:49,BANK,254700145868,54.60,USD,TUP-S-000020
SWJE4QVZFV,2026-09-22 13:32:12,MOBILE_MONEY,254700171870,6.65,USD,TUP-S-000045
SY4SCOSS3E,2026-09-22 13:41:36,MOBILE_MONEY,254700123281,37.80,USD,
SQYR9OUDOC,2026-09-22 14:12:18,MOBILE_MONEY,254700341928,33.60,USD,TUP-S-000004
SB4OM3WTOO,2026-09-22 14:31:38,MOBILE_MONEY,254700256342,216.00,USD,TUP-S-000019
SHOEVB9OOA,2026-09-22 14:45:05,MOBILE_MONEY,254700834657,7.00,USD,TUP-S-000009
SG82I1LR3P,2026-09-22 14:45:43,MOBILE_MONEY,254700701065,288.00,USD,TUP-S-000011
SWR8431RUP,2026-09-22 15:07:39,MOBILE_MONEY,254700716572,5.85,USD,TUP-S-000032
BNK210249947,2026-09-22 15:15:24,BANK,254700936183,37.80,USD,
SGWQVRR9A7,2026-09-22 15:19:24,MOBILE_MONEY,254700799650,279.40,USD,TUP-S-000033
SPV6RAST5J,2026-09-22 15:34:39,MOBILE_MONEY,254700263982,288.00,USD,TUP-S-000043
SNR0QF4B8D,2026-09-22 15:36:43,MOBILE_MONEY,254700046537,120.00,USD,TUP-S-000029
SYT0HICCT5,2026-09-22 15:39:25,MOBILE_MONEY,254700985931,248.00,USD,TUP-S-000052
BNK131869993,2026-09-22 15:51:48,BANK,254700167190,52.30,USD,TUP-S-000036
BNK171822782,2026-09-22 16:03:13,BANK,254700154303,30.80,USD,TUP-S-000008
SXX497W19V,2026-09-22 16:03:39,MOBILE_MONEY,254700377701,27.03,USD,TUP-S-000034
SHH3HJ5S6R,2026-09-22 16:04:06,MOBILE_MONEY,254700093248,95.00,USD,TUP-S-000042
SV37Q9AH8R,2026-09-22 16:25:47,MOBILE_MONEY,254700012269,612.00,USD,TUP-S-000006
SN22T1TDGN,2026-09-22 16:36:48,MOBILE_MONEY,254700167190,63.20,USD,TUP-S-000036
STFIJOYJNE,2026-09-22 16:44:02,MOBILE_MONEY,254700347143,37.80,USD,TUP-S-000026
SQRTQOHMUH,2026-09-22 16:48:39,MOBILE_MONEY,254700377701,49.97,USD,TUP-S-000034
SCCOSFOGYR,2026-09-22 17:01:40,MOBILE_MONEY,254700618495,577.50,USD,TUP-S-000003
SPG50RCXN2,2026-09-22 17:02:48,MOBILE_MONEY,254700675869,248.00,USD,TUP-S-000053
BNK172400504,2026-09-22 17:03:40,BANK,254700913431,89.60,USD,TUP-S-000046
SHGW9XHRO1,2026-09-22 17:12:43,CASH,254700998094,56.00,USD,
SUY4AWTY08,2026-09-22 17:18:40,MOBILE_MONEY,254700603669,264.00,USD,TUP-S-000027
SLUGKV05SZ,2026-09-22 17:56:45,MOBILE_MONEY,254700742967,576.00,USD,TUPS000040
BNK331586923,2026-09-22 18:06:15,BANK,254700262045,462.00,USD,TUP-S-000018
SD9JRSNVNQ,2026-09-22 18:25:51,MOBILE_MONEY,254700808412,3.50,USD,TUP-S-000016
SS8MX1EVUH,2026-09-22 18:27:12,MOBILE_MONEY,254700169340,78.40,USD,TUP-S-000021
SCS6VFPTOM,2026-09-22 19:00:37,MOBILE_MONEY,254700777387,56.00,USD,TUP-S-000023
SXHN3QXKHK,2026-09-22 19:03:00,MOBILE_MONEY,254700033092,12.60,USD,TUP-S-000030
SXH0W1DSTW,22/09/2026 25:61,MOBILE_MONEY,254700198327,18.00,USD,
SN0GU1UQXJ,2026-09-23 01:15:00,MOBILE_MONEY,254700836736,124.00,USD,TUP-S-000059
