transaction_id,business_date,timestamp,agent_id,customer_phone,region,product_sku,expected_amount,currency,payment_reference
TUP-S-000026,2026-09-22,2026-09-22 16:29:23,AG-032,254700347143,Rift Valley,SEED-MAIZE-H614-2KG,37.80,USD,TUP-S-000026
TUP-S-000003,2026-09-22,2026-09-22 16:45:42,AG-008,254700618495,Eastern,FERT-DAP-50KG,577.50,USD,TUP-S-000003
TUP-S-000053,2026-09-22,2026-09-22 16:47:08,AG-009,254700675869,Coast,FERT-CAN-50KG,248.00,USD,TUP-S-000053
TUP-S-000046,2026-09-22,2026-09-22 16:50:56,AG-003,254700913431,Central,SEED-BEANS-2KG,89.60,USD,TUP-S-000046
TUP-S-000027,2026-09-22,2026-09-22 16:52:40,AG-030,254700603669,Coast,SOLAR-LAMP-S1,264.00,USD,TUP-S-000027
TUP-S-000018,2026-09-22,2026-09-22 17:36:15,AG-036,254700262045,Western,FERT-DAP-50KG,462.00,USD,TUP-S-000018
TUP-S-000021,2026-09-22,2026-09-22 18:02:08,AG-033,254700169340,Coast,SEED-BEANS-2KG,78.40,USD,TUP-S-000021
TUP-S-000016,2026-09-22,2026-09-22 18:08:06,AG-052,254700808412,Rift Valley,TREE-SEEDLING-GREV,3.50,USD,TUP-S-000016
TUP-S-000030,2026-09-22,2026-09-22 18:51:53,AG-003,254700033092,Nyanza,SEED-MAIZE-H614-2KG,12.60,USD,TUP-S-000030
TUP-S-000023,2026-09-22,2026-09-22 18:55:06,AG-021,254700777387,Coast,STORAGE-BAG-PICS,56.00,USD,TUP-S-000023
TUP-S-000059,2026-09-22,2026-09-22 21:40:00,AG-055,254700836736,Rift Valley,FERT-CAN-50KG,124.00,USD,TUP-S-000059
TUP-S-000051,2026-09-22,2026-09-22 22:11:00,AG-037,254700594406,Rift Valley,SEED-MAIZE-H614-2KG,54.60,USD,TUP-S-000051
TUP-S-000050,2026-09-22,2026-09-22 22:27:00,AG-041,254700647436,Central,STORAGE-BAG-PICS,28.00,USD,TUP-S-000050
